serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,image_path
S0001,iNat_Panthera_tigris_tigris_04,Panthera tigris tigris,Bengal tiger,1,idefics3,factual,,0.3,1,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_04.jpg
S0002,GBIF_Panthera_leo_02,Panthera leo,African lion,1,qwen3vl8b,conservation,,0.3,2,forced_evasion,data\GBIF\downloaded\tier1_iconic_common\Panthera_leo\Panthera_leo_02.jpg
S0003,GBIF_Ailurus_fulgens_01,Ailurus fulgens,Red panda,2,llava16,mythological,Ancient Greek,0.7,0,stratified_random,data\GBIF\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_01.jpg
S0004,GBIF_Balaenoptera_musculus_00,Balaenoptera musculus,Blue whale,3,ayavision,mythological,Celtic,0.3,0,forced_shr1,data\GBIF\downloaded\tier3_rare_endangered\Balaenoptera_musculus\Balaenoptera_musculus_00.jpg
S0005,iNat_Ursus_americanus_02,Ursus americanus,American black bear,4,llava_interleave,mythological,West African (Yoruba),0.3,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Ursus_americanus\Ursus_americanus_02.jpg
S0006,GBIF_Panthera_leo_01,Panthera leo,African lion,1,qwen35_9b,childrens,,0.3,1,stratified_random,data\GBIF\downloaded\tier1_iconic_common\Panthera_leo\Panthera_leo_01.jpg
S0007,iNat_Panthera_tigris_tigris_01,Panthera tigris tigris,Bengal tiger,1,qwen25vl,factual,,0.3,2,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_01.jpg
S0008,iNat_Phocoena_sinus_01,Phocoena sinus,Vaquita,3,gemma4_8b,mythological,Hindu,0.7,1,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Phocoena_sinus\Phocoena_sinus_01.jpg
S0009,iNat_Panthera_tigris_tigris_04,Panthera tigris tigris,Bengal tiger,1,gemma3,childrens,,0.3,2,forced_shr1,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_04.jpg
S0010,iNat_Loxodonta_africana_00,Loxodonta africana,African elephant,4,idefics3,childrens,,0.3,0,forced_ehr0,data\iNaturalist\downloaded\tier4_visually_confusable\Loxodonta_africana\Loxodonta_africana_00.jpg
S0011,GBIF_Ursus_maritimus_02,Ursus maritimus,Polar bear,1,ayavision,childrens,,0.7,0,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_02.jpg
S0012,iNat_Diceros_bicornis_04,Diceros bicornis,Black rhino,3,qwen35_9b,conservation,,0.3,1,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Diceros_bicornis\Diceros_bicornis_04.jpg
S0013,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,gemma3,factual,,0.7,1,forced_ehr_high,data\iNaturalist\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_03.jpg
S0014,GBIF_Alligator_mississippiensis_01,Alligator mississippiensis,American alligator,4,llava_interleave,conservation,,0.3,2,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_01.jpg
S0015,iNat_Ailuropoda_melanoleuca_04,Ailuropoda melanoleuca,Giant panda,1,qwen2vl2b,childrens,,0.7,1,forced_ehr0,data\iNaturalist\downloaded\tier1_iconic_common\Ailuropoda_melanoleuca\Ailuropoda_melanoleuca_04.jpg
S0016,iNat_Equus_quagga_03,Equus quagga,Plains zebra,1,idefics3,childrens,,0.7,0,forced_ehr0,data\iNaturalist\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_03.jpg
S0017,iNat_Ursus_arctos_03,Ursus arctos,Grizzly bear,4,qwen25vl,factual,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Ursus_arctos\Ursus_arctos_03.jpg
S0018,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,ayavision,mythological,East Asian (Chinese/Japanese),0.3,1,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_01.jpg
S0019,iNat_Setonix_brachyurus_01,Setonix brachyurus,Quokka,2,llava16,childrens,,0.7,0,forced_ehr0,data\iNaturalist\downloaded\tier2_regionally_known\Setonix_brachyurus\Setonix_brachyurus_01.jpg
S0020,iNat_Ursus_maritimus_03,Ursus maritimus,Polar bear,1,gemma4_8b,conservation,,0.7,0,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_03.jpg
S0021,GBIF_Giraffa_camelopardalis_01,Giraffa camelopardalis,Giraffe,1,idefics3,conservation,,0.3,2,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Giraffa_camelopardalis\Giraffa_camelopardalis_01.jpg
S0022,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,ayavision,factual,,0.7,1,stratified_random,data\iNaturalist\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_03.jpg
S0023,iNat_Equus_quagga_04,Equus quagga,Plains zebra,1,llava16,conservation,,0.7,0,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_04.jpg
S0024,iNat_Panthera_leo_03,Panthera leo,African lion,1,qwen3vl8b,factual,,0.7,1,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_leo\Panthera_leo_03.jpg
S0025,GBIF_Probosciger_aterrimus_02,Probosciger aterrimus,Palm cockatoo,2,llava_interleave,mythological,Hindu,0.3,1,forced_shr1,data\GBIF\downloaded\tier2_regionally_known\Probosciger_aterrimus\Probosciger_aterrimus_02.jpg
S0026,iNat_Rhinoceros_unicornis_02,Rhinoceros unicornis,Indian rhinoceros,1,ayavision,factual,,0.3,0,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Rhinoceros_unicornis\Rhinoceros_unicornis_02.jpg
S0027,iNat_Ailuropoda_melanoleuca_04,Ailuropoda melanoleuca,Giant panda,1,ayavision,childrens,,0.7,0,forced_ehr0,data\iNaturalist\downloaded\tier1_iconic_common\Ailuropoda_melanoleuca\Ailuropoda_melanoleuca_04.jpg
S0028,iNat_Ambystoma_mexicanum_04,Ambystoma mexicanum,Axolotl,2,llava16,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_04.jpg
S0029,GBIF_Ursus_americanus_01,Ursus americanus,American black bear,4,qwen2vl2b,factual,,0.7,0,forced_evasion,data\GBIF\downloaded\tier4_visually_confusable\Ursus_americanus\Ursus_americanus_01.jpg
S0030,GBIF_Panthera_tigris_tigris_00,Panthera tigris tigris,Bengal tiger,1,qwen2vl2b,conservation,,0.7,0,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_00.jpg
S0031,GBIF_Loxodonta_africana_02,Loxodonta africana,African elephant,4,idefics3,childrens,,0.7,2,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Loxodonta_africana\Loxodonta_africana_02.jpg
S0032,iNat_Hydrochoerus_hydrochaeris_02,Hydrochoerus hydrochaeris,Capybara,2,qwen3vl8b,factual,,0.3,2,forced_evasion,data\iNaturalist\downloaded\tier2_regionally_known\Hydrochoerus_hydrochaeris\Hydrochoerus_hydrochaeris_02.jpg
S0033,iNat_Alligator_mississippiensis_01,Alligator mississippiensis,American alligator,4,idefics3,conservation,,0.3,1,stratified_random,data\iNaturalist\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_01.jpg
S0034,GBIF_Panthera_tigris_tigris_02,Panthera tigris tigris,Bengal tiger,1,qwen25vl,childrens,,0.7,1,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_02.jpg
S0035,iNat_Giraffa_camelopardalis_03,Giraffa camelopardalis,Giraffe,1,idefics3,conservation,,0.7,2,forced_ehr0,data\iNaturalist\downloaded\tier1_iconic_common\Giraffa_camelopardalis\Giraffa_camelopardalis_03.jpg
